,Position,Company,Experience,Salary,Used Technologies,Optional Technologies,Salary_Min,Salary_Max,Parsed Used Technologies
0,Embedded Software Engineer,Fluke Corportaion,mid,13000 18000,"{'C': 'regular', 'C++': 'regular', 'Linux': 'regular', 'SVN': 'regular', 'Yocto': 'nice to have', 'Qt': 'nice to have'}",-,13000,18000.0,"['C', 'C++', 'Linux', 'SVN', 'Yocto', 'Qt']"
2,.NET Developer,UN7,mid,20000 28000,{'.Net': 'advanced'},-,20000,28000.0,['.Net']
10,Data Transformation Consultant,Accenture,mid,13000 25000,"{'SQL': 'advanced', 'Python': 'advanced', 'PySpark': 'advanced', 'Apache Spark': 'regular', 'Databricks': 'regular', 'Palantir Foundry': 'regular', 'JIRA': 'junior', 'Confluence': 'junior', 'Git': 'junior', 'Docker': 'junior'}",-,13000,25000.0,"['SQL', 'Python', 'PySpark', 'Apache Spark', 'Databricks', 'Palantir Foundry', 'JIRA', 'Confluence', 'Git', 'Docker']"
13,Senior DevOps Engineer (Azure),GetInData | Part of Xebia,senior,25200 31080,"{'Azure': 'advanced', 'Kubernetes': 'advanced', 'Python': 'advanced', 'Terraform': 'regular', 'Gitlab CI': 'regular', 'GitHub Actions': 'regular', 'Azure DevOps': 'regular', 'Databricks': 'nice to have'}",-,25200,31080.0,"['Azure', 'Kubernetes', 'Python', 'Terraform', 'Gitlab CI', 'GitHub Actions', 'Azure DevOps', 'Databricks']"
26,DevOps Engineer #Kubernetes (m/f/x),Cpl Poland,mid,15000 24000,"{'Linux': 'advanced', 'Kubernetes': 'regular', 'Ansible': 'regular', 'GitLab': 'regular', 'Python/Bash': 'regular', 'Docker': 'junior'}",-,15000,24000.0,"['Linux', 'Kubernetes', 'Ansible', 'GitLab', 'Python/Bash', 'Docker']"
27,Senior DevOps Cloud Engineer,Bayer Sp. z o.o.,senior,18000 26000,"{'AWS': 'advanced', 'IaC': 'advanced', 'Terraform': 'advanced', 'Docker': 'regular', 'Kubernetes': 'regular', 'Workflow Engines': 'regular', 'Python': 'regular', 'Shell Scripting': 'regular'}",-,18000,26000.0,"['AWS', 'IaC', 'Terraform', 'Docker', 'Kubernetes', 'Workflow Engines', 'Python', 'Shell Scripting']"
28,Senior Cloud Engineer with Python,Bayer Sp. z o.o.,senior,18000 26000,"{'Python': 'advanced', 'API': 'regular', 'AWS': 'regular', 'Terraform': 'regular', 'Docker': 'regular', 'Kubernetes': 'regular', 'Workflow Engines': 'nice to have'}",-,18000,26000.0,"['Python', 'API', 'AWS', 'Terraform', 'Docker', 'Kubernetes', 'Workflow Engines']"
29,Senior Java Developer,People More P.S.A.,senior,23000 32000,"{'Java': 'master', 'Spring Boot': 'advanced', 'WebService': 'advanced', 'Microservices': 'advanced', 'React': 'junior'}",-,23000,32000.0,"['Java', 'Spring Boot', 'WebService', 'Microservices', 'React']"
30,DevOps,Skillspark,senior,33600 40000,"{'DevOps': 'advanced', 'CI/CD': 'regular', 'GitHub': 'regular', 'Jenkins': 'regular'}",-,33600,40000.0,"['DevOps', 'CI/CD', 'GitHub', 'Jenkins']"
31,Experienced DevOps Engineer (Azure),Conscensia,senior,28000 33000,"{'Azure': 'master', 'Kubernetes': 'master', 'Docker': 'master'}",-,28000,33000.0,"['Azure', 'Kubernetes', 'Docker']"
