Position,Company,Salary,Level,Used Technologies
Technical Service Delivery Manager,Tech Projekt Sp. z o.o.,No data about salary,,
Ekspert ds. Rozliczeń,Tech-Projekt Sp. z o.o.,7 000–8 000 zł / mies. (zal. od umowy),,
Specjalista/Specjalistka ds. obsługi użytkowników komputerów,Agora S.A.,No data about salary,,
IT Specialist,EWL S.A,No data about salary,,
Senior Project Manager,MINDVERSE CONSULTING SERVICES,No data about salary,,
Network Project Manager,PLAY (P4 Sp. z o.o.),No data about salary,,
Junior PHP Developer,Epicode Sp. z o.o.,4 500–10 000 zł / mies. (zal. od umowy),,
PHP Developer,Epicode Sp. z o.o.,10 000–16 000 zł netto (+ VAT) / mies.,,
Mobile Developer,EMPLO sp. z o.o.,10 000–20 000 zł netto (+ VAT) / mies.,,
Fullstack Developer (Symfony + React),WebMakers,15 000–20 000 zł netto (+ VAT) / mies.,,
Technical Support Specialist I with French/Spanish (2nd line),JAMF,8 750–11 000 zł brutto / mies.,,
SAP Basis Consultant,IBA POLAND sp. z o.o.,No data about salary,,
DevOps Specialist,IBA POLAND sp. z o.o.,No data about salary,,
Service Desk- Dutch + German Speaker,Wipro IT Services,No data about salary,,
Service Desk Agent with Dutch,Wipro IT Services,No data about salary,,
Specialist Engineer,Wipro IT Services,No data about salary,,
"Fullstack (PHP - Symfony, TypeScript) Developer",Lemisoft Michał Kufel,9 000–14 000 zł netto (+ VAT) / mies.,,
Mid Flutter Mobile Developer,Lemisoft Michał Kufel,10 000–14 000 zł / mies. (zal. od umowy),,
Angular Frontend Developer,Lemisoft Michał Kufel,10 000–15 000 zł / mies. (zal. od umowy),,
Platform Operations Team Lead,NTIATIVE sp. z o.o.,30 000–35 000 zł netto (+ VAT) / mies.,,
Data Analyst,ITDS Polska Sp. z o.o.,17 430–21 630 zł / mies. (zal. od umowy),,
TIBCO Developer,Novaris Sp. z o.o.,17 000–27 000 zł / mies. (zal. od umowy),,
Manual Tester,ITDS Polska Sp. z o.o.,8 400–15 750 zł / mies. (zal. od umowy),,
Software Test Engineer – C#,ITDS Polska Sp. z o.o.,14 700–19 950 zł / mies. (zal. od umowy),,
Network Engineer,ITDS Polska Sp. z o.o.,21 000–25 200 zł / mies. (zal. od umowy),,
Senior DevOps,ITDS Polska Sp. z o.o.,21 000–27 300 zł / mies. (zal. od umowy),,
Senior Data Manager,JellyTech,15 000–18 500 zł netto (+ VAT) / mies.,,
PHP Developer,JellyTech,12 000–18 000 zł netto (+ VAT) / mies.,,
Senior AUTOSAR Engineer,JellyTech,No data about salary,,
Technical Project Leader for instrument cluster,JellyTech,24 000–26 000 zł netto (+ VAT) / mies.,,
AEM Developer,JellyTech,20 000–26 000 zł netto (+ VAT) / mies.,,
QNX Security Engineer,JellyTech,24 000–26 000 zł netto (+ VAT) / mies.,,
Consultant QNX BSP Engineer,JellyTech,24 000–26 000 zł netto (+ VAT) / mies.,,
Consulting - Banking Industry Analyst / Consultant – Core Banking (ICH Europe),Accenture Intelligent Consulting Hub Europe,No data about salary,,
Analityk Wdrożeniowy,Transition Technologies–Systems Sp. z o. o.,7 000–12 000 zł / mies. (zal. od umowy),,
Inżynier / inżynerka Zarządzania Siecią i Platformami Usługowymi,Orange Polska,No data about salary,,
Internship - Natural Language Processing Intern in Artificial Intelligence Team,Samsung R&D Institute Poland,No data about salary,,
Salesforce Solution Architect,PwC,No data about salary,,
Developer PL/SQL z niemieckim,KZ INSPIRE,14 400–33 600 zł / mies. (zal. od umowy),,
Programista C++ (Embedded / Industrial),JellyTech,14 500–17 800 zł netto (+ VAT) / mies.,,
Senior MS Power BI Developer,JellyTech,16 000–27 000 zł netto (+ VAT) / mies.,,
IT Production Engineer,JellyTech,6 000–9 000 zł netto (+ VAT) / mies.,,
Senior Sharepoint Developer,JellyTech,18 000–24 000 zł netto (+ VAT) / mies.,,
Cloud Application Administrator,Robert Bosch Sp. z o.o.,No data about salary,,
Fullstack Developer (Java + Angular),Prime Engineering Poland,22 000–28 000 zł / mies. (zal. od umowy),,
.NET Developer,SQUARE ONE RESOURCES sp. z o.o.,20800-28800,,
Java Developer with React,SQUARE ONE RESOURCES sp. z o.o.,20800-28800,,
Frontend Developer,SQUARE ONE RESOURCES sp. z o.o.,20800-24000,,
DevOps Developer,SQUARE ONE RESOURCES sp. z o.o.,20800-28800,,
Java Developer,SQUARE ONE RESOURCES sp. z o.o.,19200-28800,"specialist (Mid / Regular), senior specialist (Senior)","Java, Spring Framework, Hibernate, Git, Maven"
